anitora.elm	Anitora
c2_docks_irillion.elm	C2_Docks_Irillion
c2_docks_seridia.elm	C1_Docks_Seridia
c2_portalsroom.elm	C2_Portals_Room
c2_underworld.elm	C2_Underworld
cave1.elm	Crystal_Caverns
cave2.elm	DP_Coal/Tars_Saph_Cave
cave3.elm	Nordcarn_Cave_of_Doom
cont2map1.elm	Idaloran
cont2map10.elm	Zirakinbar
cont2map10_caves.elm	Zirakinbar_Caves
cont2map10_insides.elm	Zirakinbar_Insides
cont2map12.elm	Aeth_Aelfan
cont2map12_cave1.elm	Aeth_Aelfan_cave1
cont2map12_cave2.elm	Aeth_Aelfan_cave2
cont2map12_fortress.elm	Aeth_Aelfan_Fortress
cont2map12_insides.elm	Aeth_Aelfan_Insides
cont2map13.elm	Egratia_Point
cont2map13_temple.elm	Egratia_Point_Temple
cont2map14.elm	Arius
cont2map14_insides.elm	Arius_Insides
cont2map16.elm	South_Redmoon
cont2map16_insides.elm	South_Redmoon_Insides
cont2map16_mountains.elm	South_Redmoon_Mountains
cont2map17.elm	Hurquin
cont2map17_crypt.elm	Hurquin_Crypt
cont2map17_insides.elm	Hurquin_Insides
cont2map18.elm	Trassian
cont2map18_caves.elm	Trassian_Caves
cont2map18_insides.elm	Trassian_Insides
cont2map19.elm	Hulda
cont2map1_caves.elm	Idaloran_Caves
cont2map1_insides.elm	Idaloran_Insides
cont2map1_mine.elm	Idaloran_Mine
cont2map2.elm	Bethel
cont2map20.elm	Isle_of_the_Forgotten
cont2map20_insides.elm	Isle_of_the_Forgotten_Insides
cont2map21.elm	Imbroglio
cont2map21_caves.elm	Imbroglio_Caves
cont2map21_maze1.elm	Imbroglio_Maze1
cont2map21_maze2.elm	Imbroglio_Maze2
cont2map21_maze3.elm	Imbroglio_Maze3
cont2map21_maze4.elm	Imbroglio_Maze4
cont2map21_maze5.elm	Imbroglio_Maze5
cont2map21_maze6.elm	Imbroglio_Maze6
cont2map22.elm	Irinveron
cont2map22_caves.elm	Irinveron_Caves
cont2map22_insides.elm	Irinveron_Insides
cont2map23.elm	Glacmor
cont2map23_insides.elm	Glacmor_Insides
cont2map24.elm	Iscalrith
cont2map24_cave.elm	Iscalrith_Caves
cont2map24_insides.elm	Iscalrith_Insides
cont2map2_cave.elm	Bethel_Caves
cont2map2_insides.elm	Bethel_Insides
cont2map2_misc.elm	Bethel_Misc
cont2map3.elm	Sedicolis
cont2map3_insides.elm	Sedicolis_Insides
cont2map4.elm	Melinis
cont2map4_caves.elm	Melinis_Caves
cont2map4_insides.elm	Melinis_Insides
cont2map5.elm	Palon_Vertas
cont2map5_caves.elm	Palon_Vertas_Caves
cont2map5_inmsch.elm	Palon_Vertas_Magic_School
cont2map5_insides.elm	Palon_Vertas_Insides
cont2map5_underground.elm	Palon_Vertas_Underground
cont2map8.elm	EVTR
cont2map8_cave.elm	EVTR_Caves
cont2map8_insides.elm	EVTR_Insides
cont2map9.elm	Kusamura
cont2map9_insides.elm	Kusamura_Insides
cont2map9_temple.elm	Kusamura_Temple
dream_temple.elm	Dream_Temple
guildmap_co.elm		CO_Map
guildmap_dao.elm	DAO_Map
guildmap_iron.elm	IRON_Map
guildmap_lnx.elm	LNX_Map
guildmap_pl.elm		PL_Map
guildmap_segv.elm	SEGV_Map
map11.elm	Tars
map11_crypt.elm		Tars_Orimveron_Crypt
map11_insides.elm	Tars_Insides
map11_insmsch.elm	Tars_Magic_School
map11_mschcave.elm	Tars_Magic_School_Caves
map11_mschgar.elm	Tars_Magic_School_Garden
map12.elm	Nordcarn
map12_cave.elm	Nordcarn_South_Cave
map13.elm	South_Kilaren
map13_castle.elm	Carmen_Manor
map13_insides.elm	SKF_Insides
map14f.elm	Kilaren_Fields
map15_cave.elm	Tahraji_Desert_Cave
map15f.elm	Tahraji_Desert
map2.elm	Whitestone
map2_cave.elm	Whitestone_Diamond_Cave
map2_insides.elm	Whitestone_Insides
map2_insides_backup.elm	Whitestone_Insides_(Backup)
map2_insidescastle.elm	Vermor_Castle
map3.elm	Desert_Pines
map3_insides.elm	Desert_Pines_Insides
map4f.elm	Tirnym
map5nf.elm	VotD
map5nf_insides.elm	VotD_Insides
map6nf.elm	Portland
map6nf_cave.elm	Portland/IP_Caves
map6nf_insides.elm	Portland_Insides
map7.elm	Morcraven_Marsh
map7_cave.elm	Morcraven_Caves
map7_insides.elm	Morcraven_Insides/Tirnwood_Underground
map8.elm	Naralik
map8_catacombs.elm	Naralik_Catacombs
map8_insides.elm	Naralik_Insides
map9f.elm	Grubani
map9f_insides.elm	Grubani_Insides
maparena1.elm	WSC_Arena
mapportalroom.elm	C1_Portals_Room
mapunderworld1.elm	C1_Underworld
mine1.elm	VotD_Gold_Cave
misc1.elm	Misc_Map
startmap.elm	Isla_Prima
startmap_insides.elm	Isla_Prima_Insides
